"","richness","species","season"
"BHS27",105,"BighornSheep","Spring"
"BHS29",66,"BighornSheep","Spring"
"BHS33",80,"BighornSheep","Spring"
"BHS36",104,"BighornSheep","Spring"
"BHS40",100,"BighornSheep","Summer"
"BHS42",104,"BighornSheep","Summer"
"BHS53",105,"BighornSheep","Summer"
"BHS58",77,"BighornSheep","Spring"
"BIS1",88,"Bison","Spring"
"BIS12",60,"Bison","Spring"
"BIS2",53,"Bison","Spring"
"BIS56",103,"Bison","Summer"
"BIS59",120,"Bison","Summer"
"BIS72",100,"Bison","Summer"
"BIS9",87,"Bison","Spring"
"ELK16",59,"Elk","Spring"
"ELK17",68,"Elk","Spring"
"ELK24",61,"Elk","Spring"
"ELK48",86,"Elk","Summer"
"ELK49",84,"Elk","Spring"
"ELK54",71,"Elk","Summer"
"ELK75",79,"Elk","Summer"
